date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2024-12-09,4383528.750842825,3369957.5961850006,7753486.347027825,3966.571,3603.6152666666667,3536.442528,1.0,7753486.347027825,7753486.347027825,0.0
2024-12-10,4383528.750842825,3428756.463777,7812285.214619825,3995.637,3607.3994666666667,3538.350984,1.0,7812285.214619825,7812285.214619825,0.0
2024-12-11,4383528.750842825,3469708.773616999,7853237.524459824,3988.831,3611.1714,3540.35308,1.0,7853237.524459824,7853237.524459824,0.0
2024-12-12,4383528.750842825,3531892.633836,7915421.384678824,4028.505,3615.195691666667,3542.482288,1.0,7915421.384678824,7915421.384678824,0.0
2024-12-13,4383528.750842825,3479771.1341020013,7863299.884944826,3933.181,3618.565958333333,3544.283488,1.0,7863299.884944826,7863299.884944826,0.0
2024-12-16,4383528.750842825,3421782.3422369994,7805311.093079824,3911.842,3621.9706250000004,3546.090304,1.0,7805311.093079824,7805311.093079824,0.0
2024-12-17,4383528.750842825,3293651.0805209987,7677179.831363823,3922.033,3625.5240666666664,3548.201408,1.0,7677179.831363823,7677179.831363823,0.0
2024-12-18,4383528.750842825,3342812.1192590008,7726340.870101825,3941.89,3629.399733333333,3550.370576,1.0,7726340.870101825,7726340.870101825,0.0
2024-12-19,4383528.750842825,3353507.430626,7737036.181468824,3945.464,3633.4627499999997,3552.587304,1.0,7737036.181468824,7737036.181468824,0.0
2024-12-20,4383528.750842825,3399750.9375970005,7783279.688439826,3927.744,3637.191741666667,3554.700432,1.0,7783279.688439826,7783279.688439826,0.0
2024-12-23,4383528.750842825,3236898.9087069994,7620427.659549824,3933.572,3641.1871916666664,3556.7569000000003,1.0,7620427.659549824,7620427.659549824,0.0
2024-12-24,4383528.750842825,3253245.3203240014,7636774.071166826,3983.688,3645.5374500000003,3558.9844399999997,1.0,7636774.071166826,7636774.071166826,0.0
2024-12-25,4383528.750842825,3168875.9774019998,7552404.728244824,3985.629,3649.766166666667,3561.448536,1.0,7552404.728244824,7552404.728244824,0.0
2024-12-26,4383528.750842825,3208460.286995001,7591989.037837826,3987.48,3654.063616666667,3563.9905999999996,1.0,7591989.037837826,7591989.037837826,0.0
2024-12-27,4383528.750842825,3237184.696189,7620713.447031824,3981.031,3658.377091666667,3566.5485160000003,1.0,7620713.447031824,7620713.447031824,0.0
2024-12-30,4383528.750842825,3229432.581277,7612961.332119824,3999.055,3662.9874416666667,3569.227272,1.0,7612961.332119824,7612961.332119824,0.0
2024-12-31,4383528.750842825,3139805.230425001,7523333.981267826,3934.911,3667.1861916666667,3571.6307520000005,1.0,7523333.981267826,7523333.981267826,0.0
2025-01-02,4383528.750842825,3083771.648514999,7467300.399357824,3820.395,3670.6748166666666,3573.7223239999994,1.0,7467300.399357824,7467300.399357824,0.0
2025-01-03,4383528.750842825,2962042.143321,7345570.894163825,3775.165,3673.469433333333,3575.499504,1.0,7345570.894163825,7345570.894163825,0.0
2025-01-06,4383528.750842825,2917445.893184,7300974.644026824,3768.97,3676.3028,3577.2264719999994,1.0,7300974.644026824,7300974.644026824,0.0
2025-01-07,4383528.750842825,3012593.5915280003,7396122.342370825,3796.106,3679.035608333333,3579.0210919999995,1.0,7396122.342370825,7396122.342370825,0.0
2025-01-08,4383528.750842825,3031327.711537999,7414856.462380824,3789.215,3681.675725,3580.878792,1.0,7414856.462380824,7414856.462380824,0.0
2025-01-09,4383528.750842825,3056281.361472999,7439810.112315824,3779.877,3684.205975,3582.652872,1.0,7439810.112315824,7439810.112315824,0.0
2025-01-10,4383528.750842825,2961806.1962380004,7345334.947080824,3732.481,3686.1576250000003,3583.9246359999997,1.0,7345334.947080824,7345334.947080824,0.0
2025-01-13,4383528.750842825,2939551.9972359994,7323080.748078824,3722.513,3687.9986999999996,3585.090248,1.0,7323080.748078824,7323080.748078824,0.0
2025-01-14,4383528.750842825,3106107.646912,7489636.397754824,3820.54,3690.495441666667,3586.827,1.0,7489636.397754824,7489636.397754824,0.0
2025-01-15,4383528.750842825,3103372.1746330005,7486900.925475825,3796.026,3692.6371916666667,3588.497916,1.0,7486900.925475825,7486900.925475825,0.0
2025-01-16,4383528.750842825,3103551.3389100004,7487080.089752825,3800.384,3695.016016666667,3590.311244,1.0,7487080.089752825,7487080.089752825,0.0
2025-01-17,4383528.750842825,3127907.8877900005,7511436.638632825,3812.343,3698.1198916666667,3592.244172,1.0,7511436.638632825,7511436.638632825,0.0
2025-01-20,4383528.750842825,3169097.048941999,7552625.799784824,3829.676,3701.549141666667,3594.4186520000003,1.0,7552625.799784824,7552625.799784824,0.0
2025-01-21,4383528.750842825,3182937.042290001,7566465.793132826,3832.615,3705.1603333333337,3596.579116,1.0,7566465.793132826,7566465.793132826,0.0
2025-01-22,4383528.750842825,3147145.626654999,7530674.377497824,3797.017,3708.391366666667,3598.658668,1.0,7530674.377497824,7530674.377497824,0.0
2025-01-23,4383528.750842825,3146412.13982,7529940.890662825,3803.744,3711.83305,3600.690956,1.0,7529940.890662825,7529940.890662825,0.0
